City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Northampton,40.8754,-75.2499,55.99,86,100,17.34,US,2021-03-28 23:58:43
1,Dabat,12.9842,37.765,56.37,64,84,0.92,ET,2021-03-29 00:02:47
2,Broken Hill,-31.95,141.4333,64.4,48,8,10.36,AU,2021-03-28 23:57:52
3,Tasiilaq,65.6145,-37.6368,15.8,62,40,4.61,GL,2021-03-28 23:57:32
4,Upernavik,72.7868,-56.1549,-24.74,78,23,4.83,GL,2021-03-28 23:57:52
5,Riberalta,-10.9833,-66.1,78.8,89,75,6.91,BO,2021-03-29 00:02:48
6,Moussoro,13.6408,16.4901,74.48,12,0,21.79,TD,2021-03-29 00:02:48
7,Vaini,-21.2,-175.2,84.2,79,40,10.36,TO,2021-03-28 23:58:06
8,Punta Arenas,-53.15,-70.9167,46.4,61,0,2.3,CL,2021-03-28 23:57:02
9,Mataura,-46.1927,168.8643,62.01,90,33,10.0,NZ,2021-03-28 23:58:06
10,Saint-Augustin,51.226,-58.6502,6.82,85,37,5.32,CA,2021-03-28 23:59:03
11,Nikolskoye,59.7035,30.7861,39.99,87,0,2.24,RU,2021-03-28 23:58:08
12,Ushuaia,-54.8,-68.3,46.4,57,75,11.5,AR,2021-03-28 23:54:21
13,Port Alfred,-33.5906,26.891,65.08,78,100,20.31,ZA,2021-03-28 23:57:55
14,Saint-Philippe,-21.3585,55.7679,75.2,78,16,5.75,RE,2021-03-28 23:57:36
15,Leningradskiy,69.3833,178.4167,-3.35,91,100,5.59,RU,2021-03-28 23:58:04
16,Hobart,-42.8794,147.3294,57.99,44,75,12.66,AU,2021-03-28 23:56:53
17,Viransehir,37.2353,39.7631,41.95,50,0,8.03,TR,2021-03-29 00:02:49
18,Mount Isa,-20.7333,139.5,78.8,27,2,19.57,AU,2021-03-28 23:59:40
19,Udachnyy,66.4167,112.4,13.32,96,100,4.97,RU,2021-03-28 23:59:20
20,Ulaangom,49.9811,92.0667,16.43,83,92,3.74,MN,2021-03-28 23:59:06
21,Coromandel,-18.4733,-47.2003,74.32,57,97,2.1,BR,2021-03-29 00:02:50
22,Muroto,33.2833,134.15,55.4,82,20,3.44,JP,2021-03-28 23:58:05
23,Rikitea,-23.1203,-134.9692,79.3,74,2,15.55,PF,2021-03-28 23:57:56
24,Praya,14.9215,-23.5087,68.0,73,75,23.02,CV,2021-03-28 23:59:28
25,Georgetown,5.4112,100.3354,79.0,94,20,5.35,MY,2021-03-28 23:58:35
26,Walvis Bay,-22.9575,14.5053,61.0,94,0,6.91,NA,2021-03-28 23:58:20
27,Saint Anthony,45.0205,-93.218,45.0,39,1,12.66,US,2021-03-28 23:58:00
28,Upata,8.0086,-62.3989,77.0,91,57,1.99,VE,2021-03-28 23:59:16
